publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Revista de Movimentos Sociais e Conflitos		2525-9830	2015						http://www.indexlaw.org/index.php/revistamovimentosociais		25259830		fulltext		Tutor Desenvolvimento e Publicações Ltda.	serial								F	197517684
Proust et le roman moderne		2494-4181	2014			2015			http://proustmod.hypotheses.org/		24944181		fulltext		Proust et le roman moderne	serial								F	19478066X
Revista de derecho privado (En línea)	0123-4366	2346-2442	2013						http://www.uexternado.edu.co/derechoprivado		23462442		fulltext		Universidad Externado de Colombia	serial								F	174864744
Revista jurídica del nordeste argentino		2545-6423	2016						https://ijeditores.com/index.php?option=publicacion&idpublicacion=186		25456423		fulltext		IJ International Legal Group	serial								F	198321120
Revista cubana de higiene y epidemiología (Online)	0253-1151	1561-3003	1995						http://www.revepidemiologia.sld.cu/index.php/hie		15613003		fulltext		Editorial Ciencias Médicas	serial								F	045021570
Revista electrónica de investigación y evaluación educativa		1134-4032	1994						https://revistaseug.ugr.es/index.php/RELIEVE/index		11344032		fulltext		Asociación Interuniversitaria de Investigación Pedagógía	serial								F	073903671
Revista Intercontinental de Gestão Desportiva		2237-3373	2011						http://revista.universo.edu.br/index.php/gestaoesportiva		22373373		fulltext		Universidade Salgado de Oliveira, Campus Niterói	serial								F	156994917
Revista peruana de computación y sistemas		2617-2003	2018						http://revistasinvestigacion.unmsm.edu.pe/index.php/rpcsis/index		26172003		fulltext		Universidad Nacional Mayor de San Marcos, Facultad de Ciencias Sociales	serial								F	229422276
Retos de la dirección (En línea)	1997-3837	2306-9155	2013								23069155		fulltext		Facultad de Ciencias Económicas y Empresariales de la Universidad de Camagüey Ignacio Agramonte Loynaz	serial								F	167503529
Review of Artificial Intelligence in Education		2965-4688	2020						https://educationai-review.org/revista		29654688		fulltext		Editora Alumni in	serial								F	272028649
Revista Desenvolvimento Socioeconômico em Debate		2446-5496	2015						https://periodicos.unesc.net/ojs/index.php/RDSD		24465496		fulltext		Fundação Educacional de Criciúma, Universidade do Extremo Sul Catarinense, Programa de Pós-Graduação em Desenvolvimento Socioeconômico	serial								F	187170703
Revista - Divulgación de ciencia y educación		2992-7153	2023						https://upeg.edu.mx/redicye/jsredicye/index.php/redicye		29927153		fulltext		Universidad Politécnica del Estado de Guerrero	serial								F	272031259
Revista de Educação Física (Rio de Janeiro. 1932. Online)	0102-8464	2447-8946	1932						http://www.revistadeeducacaofisica.com		24478946		fulltext		Centro de Capacitação Física do Exército	serial								F	192119117
Revista mexicana de ingeniería aplicada (Orizaba )		3122-4369	2026						https://revistamexicana.org/		31224369		fulltext		Osbaldo Hernández Guevara	serial								F	297323113
Revista de estudios cooperativos (Internet)	1135-6618	1885-8031	2004						http://www.ucm.es/info/revesco/		18858031		fulltext		Escuela de Estudios Cooperativos	serial								F	223254592
Revista electrónica de lingüística aplicada		1885-9089	2002						http://www.aesla.org.es/ojs/index.php/RAEL/index		18859089		fulltext		Universidad de La Rioja, Servicio de Publicaciones	serial								F	223254665
Roczniki Geomatyki (Online)	1731-5522	2449-8963	2003						http://rg.ptip.org.pl/index.php/rg		24498963		fulltext		Polskie Towarzystwo Informacji Przestrzennej	serial								F	248289128
Revista Esperança Garcia		2966-0149	2024						https://revista.esperancagarcia.uespi.br/index.php/reg/index		29660149		fulltext		Universidade Estadual do Piauí	serial								F	278805612
Revista Iberoamericana ConCiencia		3008-9735							https://revistaconciencia.edu.pe/ojs/index.php/55551		30089735		fulltext		Pan American Association for the Promotion of Culture, Science and Education	serial								F	281906866
Revista médica del Centro Hospital Arnaldo Milián Castro		1995-9494	2007			2019			http://www.revactamedicacentro.sld.cu/index.php/amc		19959494		fulltext		Hospital Arnaldo Milián Castro	serial								F	118361627
Science of Sintering (Online)	0350-820X	1820-7413							http://www.doiserbia.nb.rs/journal.aspx?issn=0350-820X		18207413		fulltext		Association for ETRAN Society	serial								F	133147797
Sciences & technologie (Constantine. En ligne)	1111-5041	2588-1965	2017						https://www.asjp.cerist.dz/en/PresentationRevue/15		25881965		fulltext		Université Mentouri de Constantine	serial								F	279672535
Revista eletrônica de direito processual		1982-7636	2007						https://www.e-publicacoes.uerj.br/redp/index		19827636		fulltext		[s.n.]	serial								F	122510380
Revista sobre estudios e investigaciones del saber académico (En línea)	2078-5577	2078-7928	2010						http://revistas.uni.edu.py/index.php/rseisa		20787928		fulltext		Universidad Nacional de Itapúa	serial								F	143278096
Riyāz̤ī va jāmi̒ah (Online)	2345-6493	2345-6507	2016						https://math-sci.ui.ac.ir/?lang=en		23456507		fulltext		Dānishgāh-i Iṣfahān	serial								F	177879009
Truffology		2433-9725	2018						http://jats-truffles.org/truffology/		24339725		fulltext		Nihon chika seikin kenkyukai	serial								F	236046136
Stroitelʹstvo: nauka i obrazovanie		2305-5502	2012						https://www.nso-journal.ru/jour		23055502		fulltext	ISSN of preceding title : 2223-8565	Moskovskij gosudarstvennyj stroitelʹnyj universitet	serial								F	174857616
Technium Sustainability		2810-2991	2021						https://techniumscience.com/index.php/sustainability		28102991		fulltext		Technium	serial								F	26493640X
Tec Tuxtla		2992-7889	2023						https://revista.tuxtla.tecnm.mx/		29927889		fulltext		Tecnológico Nacional de México	serial								F	274994488
Revista Nebrija de lingüística aplicada a la enseñanza de lenguas		1699-6569	2005						http://www.nebrija.com/revista-linguistica		16996569		fulltext		Universidad Antonio de Nebrija, Departamento de Lenguas Aplicadas	serial								F	116244941
Transmathematica		2632-9212	2019						https://transmathematica.org/index.php/journal		26329212		fulltext		[Dr James Anderson]	serial								F	237358271
Ulum (Online)		2645-9132	2018						http://www.dergipark.gov.tr/ulum		26459132		fulltext		Ankara Yıldırım Beyazıt Üniversitesi İslami İlimler Fakültesi	serial								F	230139965
Studia Ekonomiczne, Prawne i Administracyjne		2450-3940	2015						http://uniwersytetradom.pl/redirect.php?action=setcategory&id=3754		24503940		fulltext		Uniwersytet Technologiczno-Humanistyczny im. K. Pułaskiego. Wydział Ekonomiczny	serial								F	19402976X
Taḥavvulāt-i siyāsī ijtimā̒ī-i mu̒āṣir-i Īrān		2821-0220	2022						http://www.psccijouq.ir/		28210220		fulltext		Anjuman-i ̒ilmī-i jāmi̒ah'shināsī-i siyāsī-i Īrān	serial								F	263319431
Teaching English language (Online)	2538-5488	2538-547X	2016						https://www.teljournal.org/		2538547X		fulltext		Teaching English Language and Literature Society of Iran	serial								F	199315183
Tesserae iuris (Online)	2724-2013	3035-1146	2020						https://journals.uniurb.it/index.php/tesseraeiuris		30351146		fulltext		Urbino university press	serial								F	279756275
Transarea Journal		3107-7080	2025						https://transareajournal.org/en		31077080		fulltext		Somaiya Vidyavihar University	serial								F	296493368
ṣūraẗ wa al-itiṣāl (En ligne) (Al-)	2253-0967	2602-6309	2018						https://www.asjp.cerist.dz/en/PresentationRevue/169		26026309		fulltext		ğāmiՙaẗ Aḥmad Ban Ballaẗ Wahrān 1	serial								F	270481532
Technology Management and Informatics Research Journals (Online)		2798-530X	2019						https://journal.poltekim.ac.id/tematics		2798530X		fulltext		Politeknik Imigrasi	serial								F	25723571X
Thiasos (Online)	2280-4773	2279-7297	2012						http://www.thiasos.eu		22797297		fulltext		Quasar	serial								F	191025968
Trento student law review		2612-4874	2018						https://teseo.unitn.it/tslr		26124874		fulltext		Trento student law review	serial								F	23608884X
Tamap journal of mathematics and statistics		2602-2311	2017						http://www.tamap.org/Pages/About-this-Journal/16		26022311		fulltext		Tamer Yılmaz	serial								F	221019790
Teologia i Człowiek (Online)	1731-5638	2391-7598	2007						http://www.teologiaiczlowiek.umk.pl		23917598		fulltext		Uniwersytet Mikołaja Kopernika	serial								F	183835816
SZTElozófia		2560-2756	2018			2019			https://sztelozofia.wordpress.com		25602756		fulltext		Pro Philosophia Szegediensi Alapítvány	serial								F	225500582
Talía (Madrid)		2659-806X	2019						https://revistas.ucm.es/index.php/TRET/		2659806X		fulltext		Ediciones Complutense	serial								F	23683620X
Teksty Drugie (Online)	0867-0633	2545-2061	2017						https://journals.openedition.org/td		25452061		fulltext		Stowarzyszenie Pro Cultura Litteraria	serial								F	230852548
TheoretiCS		2751-4838	2022						https://theoretics.episciences.org		27514838		fulltext		TheoretiCS Foundation e.V.	serial								F	263958450
Tany vao		2729-3831	2019						https://tanyvao.hypotheses.org/		27293831		fulltext		Tany vao	serial								F	249205580
T(r)OPICS (Saint-Denis, Réunion)		2271-3131	2013						http://tropics.univ-reunion.fr/accueil/		22713131		fulltext		[Bureau transversal des colloques, de la recherche et des publications]	serial								F	17627474X
Tsaloa (Aguascalientes)		3122-430X	2024						https://revistas-entorno.net/tsaloa		3122430X		fulltext		Sahagun Padilla, Miguel Ángel	serial								F	297314300
tafsiralquran.id (Online)		2807-1433	2020						https://tafsiralquran.id/		28071433		fulltext		Tafsiralquran.id	serial								F	258000872
TMIMT international journal		2348-988X	2014			2016			http://tmimtjournal.org		2348988X		fulltext		Teerthanker Mahaveer University	serial								F	17872100X
Tatsqifiy (Bogor)	2721-155X	2721-5121	2020						http://ojs.unida.ac.id/tatsqifiy		27215121		fulltext		Universitas Djuanda	serial								F	24430484X
Teacher education through flexible learning in Africa		2788-6298	2019						https://upjournals.up.ac.za/index.php/tetfle/index		27886298		fulltext		Unit for Distance Education, Faculty of Education, University of Pretoria	serial								F	25557486X
tawāṣuliyaẗ (En ligne) (Al-)	2437-0894	2602-537X	2017						https://www.asjp.cerist.dz/en/PresentationRevue/294		2602537X		fulltext		ğāmiՙaẗ al-duktūr Yaḥyā Fāras bi-Al-mdiyaẗ	serial								F	270481508
Temps d'educació (Internet)	0214-7351	2014-7627	1989						http://www.edicions.ub.edu/articulos.aspx?modo=c&fam=TEMPS+D%27EDUCACI%c3%93&item=		20147627		fulltext		Universitat de Barcelona, ICE	serial								F	170081923
Techne (Firenze. Online)	2240-7391	2239-0243	2011						https://oaj.fupress.net/index.php/techne/index		22390243		fulltext		Firenze university press	serial								F	174290268
Tropical Bioscience (Online)	2776-7558	2776-754X	2021						http://jurnal.uinbanten.ac.id/index.php/tropicalbiosci/		2776754X		fulltext		Program Studi Biologi Fakultas Sains Universitas Islam Negeri Sultan Maulana Hasanuddin Banten	serial								F	255799152
Türkisch-deutsche Studien (Online)	2198-5286	2197-4993	2015			2022			https://ezb.ur.de/?2891250-0		21974993		fulltext		V & R Unipress	serial								F	200785095
Türkiye klinikleri tıbbi onkoloji özel dergisi (Online)	1308-1098	2146-8567	2008						http://www.turkiyeklinikleri.com/journal/tibbi-onkoloji-ozel-dergisi/1308-1098/tr-index.html		21468567		fulltext		Ortadoğu Reklam Tanıtım Yayıncılık	serial								F	231391064
Vive (El Alto)		2664-3243	2019						https://www.revistavive.org		26643243		fulltext		Centro de Estudios Transdisciplinarios Bolivia	serial								F	236837222
Uluslararası bilim, teknoloji ve tasarım dergisi (Online)		2757-8127	2020						http://uludag.edu.tr/istd		27578127		fulltext		Bursa Uludağ Üniversitesi	serial								F	253919339
Unique journal of pharmaceutical and biological sciences		2347-3614	2013						http://www.ujconline.net		23473614		fulltext		Unique Journals Communication	serial								F	174303947
World journal of pediatric surgery	2096-6938	2516-5410	2018						https://wjps.bmj.com/		25165410		fulltext		published by BMJ on behalf of the Children's Hospital, Zhejiang University School of Medicine and Zhejiang University Press	serial								F	235212539
Variations patrimoniales		2781-081X	2019						https://inp.hypotheses.org/		2781081X		fulltext		Institut national du patrimoine	serial								F	256548587
Vestnik Dagestanskogo gosudarstvennogo tehničeskogo universiteta. Tehničeskie nauki (Online)	2073-6185	2542-095X	2013						http://vestnik.dgtu.ru/jour		2542095X		fulltext		Dagestanskij gosudarstvennyj tehničeskij universitet	serial								F	198320795
Zhi̓umikānīk va zhi̓uinirzhī		3134-0717	2024						https://www.irpga-journal.ir/		31340717		fulltext	ISSN of preceding title : 2538-4643	Anjuman-i zhi̓umikānīk-i naft-i Īrān	serial								F	
Vio-nomika		2654-119X	2019						http://ejournals.lib.auth.gr/bionomika/		2654119X		fulltext		Aristoteleio Panepistīmio Thessalonikīs - Nomikī Scholī - Ergastīrio Meletīs Iatrikou Dikaiou kai Vioīthikīs	serial								F	240296192
Voices of forensic science		2563-8874	2021						https://jps.library.utoronto.ca/index.php/forensic/index		25638874		fulltext		Forensic Science Program, University of Toronto Mississauga	serial								F	255180160
Widya Katambung (Online)	2089-6662	2797-3603	2019						https://ejournal.iahntp.ac.id/index.php/WK		27973603		fulltext		Institut Agama Hindu Negeri Tampung Penyang Palangkaraya	serial								F	256552991
Yāftah'hā-yi nuvīn dar ̒ulūm-i zīstī (Online)	2423-6330	2476-7115	2016						http://nbr.khu.ac.ir		24767115		fulltext		Dānishgāh-i Khvārazmī	serial								F	195683587
Zborník Slovenského národného múzea. Archeológia (Online)	1336-6637	2989-4182	2014						https://www.archeologickemuzeum.sk/archeologicke-muzeum/zbornik-snm-archeologia		29894182		fulltext		Slovenské národné múzeum-Archeologické múzeum	serial								F	283261595
Pisʹma o materialah (Online)	2218-5046	2410-3535	2011						http://lettersonmaterials.com/ru/Default.aspx		24103535		fulltext		Institut problem sverhplastičnosti metallov RAN	serial								F	183837851
Postulat		2414-4487	2015						http://e-postulat.ru/		24144487		fulltext		Priamurskij gosudarstvennyj universitet imeni Šolom-Alejhema	serial								F	191086304
Prabha Materials Science Letters		2583-5114	2022						https://journals.ramartipublishers.com/PMSL/index.php		25835114		fulltext		Ram Arti Publishers	serial								F	271559268
Pizhūhish'hā-yi ̒ulūm-i dāmī (Online)	2008-5125	2676-5705	2012						https://animalscience.tabrizu.ac.ir/		26765705		fulltext		Dānishgāh-i Tabrīz, dānishkadah-i kishāvarzī	serial								F	238223760
